driverId,season,skill_score,n_races
101,1993,1.1270963,12
102,1989,-1.0016738,1
102,1990,-0.7355102,8
102,1991,-0.78291833,2
102,1994,-0.8190691,11
103,1992,-0.3365163,6
103,1993,-0.2849501,10
103,1994,-0.11630453,10
104,1981,-0.5624277,5
104,1982,-0.2506052,11
104,1983,-0.33777878,7
104,1984,-0.18867719,8
104,1985,-0.057393007,10
104,1986,-0.18500422,7
104,1987,-0.18955481,6
104,1988,-0.028862566,10
104,1989,-0.55832255,4
104,1990,-0.62040085,8
104,1991,-0.76903456,2
104,1992,-0.47692448,14
104,1993,-0.6775201,4
104,1994,-0.6387363,6
105,1994,-0.21940245,4
106,1994,-0.9037671,1
107,1992,-0.92675,5
108,1990,-0.85661566,1
108,1991,-0.68959,5
108,1992,-0.7557573,11
108,1993,-0.6717314,7
108,1994,-0.5913959,4
109,1981,-0.39941546,6
109,1982,-0.11600817,6
109,1983,-0.2942029,5
109,1984,-0.49106333,7
109,1985,-0.28884983,3
109,1986,-0.5434282,1
109,1987,-0.15766662,2
109,1988,-0.38129973,5
109,1989,-0.51997733,9
109,1990,-0.5636728,2
109,1991,-0.2776939,9
109,1992,-0.49912617,8
109,1993,-0.6902957,6
109,1994,-0.6889541,2
110,1994,-0.90871215,4
111,1984,-1.0133768,3
111,1985,-0.9670967,1
111,1986,-0.8453266,3
111,1987,-0.9636939,6
111,1988,-0.9640449,8
111,1989,-0.8383037,4
111,1990,-0.94359833,9
111,1993,-0.9176119,10
112,1994,-0.99657476,1
113,1987,-1.0142003,3
113,1988,-0.9824359,9
113,1990,-0.9062089,2
113,1994,-1.001306,1
115,1994,-0.69960296,1
116,1980,0.67029285,7
116,1981,1.0499177,6
116,1982,1.0191672,8
116,1983,1.0368723,12
116,1984,0.9679544,11
116,1985,1.0666909,12
116,1986,1.0692819,13
116,1987,1.0079173,12
116,1988,1.0600394,14
116,1989,1.0583608,13
116,1990,1.0509094,12
116,1991,1.0046206,8
116,1993,1.0583781,15
117,1982,-0.67346233,2
117,1983,-0.2935957,6
117,1984,-0.026346305,6
117,1985,-0.23449445,7
117,1986,-0.3472436,4
117,1987,-0.4241334,6
117,1988,-0.31628925,10
117,1989,-0.47878727,8
117,1990,-0.41613168,7
117,1993,-0.43382338,11
118,1977,-0.3048346,5
118,1978,-0.016584737,7
118,1979,-0.27603087,6
118,1980,-0.20385794,7
118,1981,-0.101594545,6
118,1982,0.075117946,5
118,1983,0.21519923,5
118,1984,-0.22319472,6
118,1985,-0.23368445,4
118,1986,-0.15745753,5
118,1987,-0.008649287,7
118,1988,-0.036829136,8
118,1989,0.11925509,11
118,1990,0.08574926,12
118,1991,0.24754396,11
118,1992,0.1955954,11
118,1993,0.023743093,10
119,1993,-0.53930134,3
120,1993,0.03583259,6
121,1985,-0.85085124,1
121,1987,-0.8209112,6
121,1988,-0.2758499,9
121,1989,-0.5613837,2
121,1990,-0.5895425,4
121,1991,-0.3222602,3
121,1992,-0.46946555,4
122,1983,-0.56311417,8
122,1984,-0.65654093,7
122,1985,-0.41337848,12
122,1986,-0.65190136,6
122,1987,-0.18854733,9
122,1988,-0.13220073,13
122,1989,-0.19775416,10
122,1990,-0.11543604,10
122,1991,-0.67182046,10
122,1992,-0.44942477,7
122,1993,-0.8161502,5
124,1992,-0.9669382,3
125,1993,-1.0137844,2
126,1988,-0.4872892,8
126,1989,-0.87720954,5
126,1990,-0.7101973,5
126,1991,-0.7519648,8
126,1992,-0.89529485,5
127,1991,-0.6222888,1
127,1992,-0.9552051,2
128,1989,-0.8810388,5
128,1990,-0.74621004,4
128,1991,-0.8747399,1
128,1992,-0.85876703,4
130,1988,-0.9052223,5
130,1989,-0.74615246,5
130,1990,-0.85165507,7
130,1991,-0.7545327,9
130,1992,-0.9796803,4
132,1987,-0.86749816,1
132,1988,-0.8078303,7
132,1989,-0.69142956,7
132,1990,-0.9079034,9
132,1991,-0.86599714,2
135,1979,-0.92034805,7
135,1980,-0.7837281,3
135,1981,-0.6861476,1
135,1992,-0.9853996,1
136,1978,0.00027709175,2
136,1979,0.57082653,4
