model,model_level,lambda_orthogonal,driver_ref,driverId,old_constructor_ref,new_constructor_ref,old_season,new_season,round,raceId,actual,pred_new,pred_old,delta,old_tier,new_tier,tier_dir
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,8,440,15.0,3.3315391540527344,3.200538158416748,0.13100099563598633,A,B,-1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,8,440,2.0,2.2345879077911377,2.92602801322937,-0.6914401054382324,A,A,0.0
model_no_orthogonal,zero,0.0,de_vries,854,williams,alphatauri,2022,2023,9,441,17.0,6.5252838134765625,6.259444713592529,0.2658390998840332,B,B,0.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,9,441,10.0,5.326627731323242,4.151171684265137,1.1754560470581055,B,A,1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,9,441,5.0,3.430368423461914,4.317013740539551,-0.8866453170776367,A,A,0.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,10,442,13.0,5.607494831085205,5.433304309844971,0.17419052124023438,A,B,-1.0
model_no_orthogonal,zero,0.0,de_vries,854,williams,alphatauri,2022,2023,10,442,17.0,7.79951810836792,7.647994041442871,0.15152406692504883,B,B,0.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,10,442,18.0,5.6257243156433105,4.35767936706543,1.2680449485778809,B,A,1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,10,442,7.0,3.863018035888672,4.91370964050293,-1.0506916046142578,A,A,0.0
model_no_orthogonal,zero,0.0,ricciardo,816,mclaren,alphatauri,2022,2023,11,443,13.0,4.761955261230469,4.083244323730469,0.6787109375,A,B,-1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,11,443,14.0,5.410621643066406,5.236431121826172,0.17419052124023438,A,B,-1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,11,443,9.0,3.657989501953125,4.647080898284912,-0.9890913963317871,A,A,0.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,12,444,18.0,6.436943054199219,6.2946391105651855,0.1423039436340332,A,B,-1.0
model_no_orthogonal,zero,0.0,ricciardo,816,mclaren,alphatauri,2022,2023,12,444,16.0,6.001367092132568,5.322291851043701,0.6790752410888672,A,B,-1.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,12,444,11.0,6.068553447723389,4.770695209503174,1.2978582382202148,B,A,1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,12,444,5.0,3.863018035888672,4.91370964050293,-1.0506916046142578,A,A,0.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,13,445,2.0,2.9151737689971924,3.656879425048828,-0.7417056560516357,A,A,0.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,13,445,3.0,6.068553447723389,4.770695209503174,1.2978582382202148,B,A,1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,13,445,12.0,6.389973163604736,6.194681167602539,0.19529199600219727,A,B,-1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,14,446,9.0,4.066643714904785,5.128580093383789,-1.061936378479004,A,A,0.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,14,446,15.0,7.1022047996521,5.803234577178955,1.2989702224731445,B,A,1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,14,446,17.0,6.016350269317627,5.82705020904541,0.1893000602722168,A,B,-1.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,15,447,6.0,6.068553447723389,4.770695209503174,1.2978582382202148,B,A,1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,15,447,13.0,5.213748931884766,5.039557933807373,0.17419099807739258,A,B,-1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,15,447,15.0,3.430368423461914,4.317013740539551,-0.8866453170776367,A,A,0.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,16,448,8.0,4.066643714904785,5.128580093383789,-1.061936378479004,A,A,0.0
